site,Es_var,r_swc,p_swc,s_swc,i_swc,r_vpd,p_vpd,s_vpd,i_vpd,r_sw,p_sw,s_sw,i_sw,r_ta,p_ta,s_ta,i_ta
GUF_GUY_GUY,Oas_Es_mm_day_y,0.6774645149528428,7.280045546511152e-15,0.06510730070360841,0.017075535074377174,0.08970873773176231,0.3723177911646598,0.002336058608288681,0.02550960604727273,0.1968715490704203,0.04846547525003167,1.3379315771598453e-05,0.020861406033898494,0.18440220377967065,0.06488982376103969,0.0009301979469246832,0.0017884934840200033
GUF_GUY_GUY,Ssp_Es_mm_day_y,0.03905122899081136,0.7011514938215333,0.0017534424926513481,0.011007689426013913,0.3781897353504643,0.00011360894835086759,0.004632762837833434,0.006736400684538638,0.37635427144474276,0.00012339618734331006,1.1932457777679899e-05,0.005103283836069899,-0.12353635762954183,0.22313539263845714,-0.00031046711701748086,0.019990066288764943
GUF_GUY_GUY,Vam_Es_mm_day_y,-0.6331158312014343,1.0951245161938414e-09,-0.30657691709776297,0.27025547496096525,0.5172142136646334,2.021732569244927e-06,0.07701183531647243,0.14313010646110833,0.6067485387607661,7.923373635466733e-09,0.00022475662585906287,0.10137445063821722,0.12234555483172789,0.2957078579664368,0.004078302825376869,0.10540948346561134
GUF_GUY_ST2,Dgu_mean_y,0.3996278538024177,0.00038235615378391327,22.15460046060565,4.4511468146336295,-0.17319540720698084,0.1372847071431101,-2.4824463842770035,9.861558240931089,0.01075843535826672,0.9270090825440016,0.00035742922973789124,7.085611016082408,-0.2253415284897129,0.051917468693244054,-1.0353109001629077,36.19468484296064
GUF_GUY_ST2,Ggl_mean_y,0.7282277792169984,1.3338478850704665e-12,21.247340707103955,3.1472942996300666,-0.2982740233902916,0.012798294146232247,-2.4552802014523256,8.43170600584448,0.3721207833917087,0.0016411325607217787,0.0067475009296863965,2.3884844399753153,-0.46889055312405076,4.8301401452846915e-05,-1.1833027063332007,38.920245379385385
GUF_GUY_ST2,Oas_mean_y,0.6392935555955237,6.701336597674171e-10,13.9148108078832,1.237064926710483,-0.17547386501366166,0.13210960440070274,-0.9874719224661224,4.03836078260321,0.27628140784315874,0.01642270913192982,0.0036038061200524985,1.14995369462703,-0.33359824060299076,0.003446758232527487,-0.6017583285781729,19.81953849767569
GUF_GUY_ST2,Rsp_mean_y,-0.23148447149213366,0.14532380888718202,-3.504010623878404,1.7513371862818559,0.16628200600698087,0.29878007719253447,0.4954312693084507,0.8150928916672736,0.5290755259013896,0.00037582099410067517,0.0032239230171641725,-0.31510708255974085,0.00015376084306048356,0.9992387375312126,0.00013765399537619854,1.3552248473875395
GUF_GUY_ST2,Ssp_mean_y,0.6309755369665756,1.2949763776223194e-09,9.568092199094794,1.1545513898450679,-0.19638554590710103,0.09128262340085565,-0.7699414214262676,3.1757160795764188,0.4093222527934809,0.0002659078213158242,0.0037197261184479797,0.45466772746370987,-0.42645699170384305,0.00013613789793539798,-0.5359317020298351,17.34491438949238
GUF_GUY_ST2,Vsp_mean_y,0.6763505074924121,2.748200746272862e-11,20.680585875300626,8.80902601461695,-0.25022845781091163,0.03037103479639163,-1.978167450988692,13.505424344851198,0.29476620465950343,0.010252760862441652,0.005401339631712124,8.656230530316568,-0.32854741672826177,0.004003771458373348,-0.8325502462792173,34.70023559571566
GUF_GUY_ST2,Vam_mean_y,0.17558558098032534,0.2040891673641554,1.1110181937176777,2.5356199169771094,0.27222992753395125,0.046431316552767214,0.419868297117367,2.2294727922157453,0.44804826408265785,0.0006801749082908164,0.0016661411060618736,1.8299413328075005,-0.058800486155140594,0.6727704138238311,-0.02934553906355492,3.4931353764103386
